
symbol table id,symbol table name,table off
0,global,64
name,type,offset,offset+base,width
puts,void function([pointer of (char)]),0,0,8
printf,"void function([pointer of (char), int])",0,0,16
printf1,"void function([pointer of (char), int, pointer of (char)])",0,0,24
printfs,void function([pointer of (char)]),0,0,8
main,"int function([int, pointer of (pointer of (char))])",0,0,24
sconst@no of args: %ld\n,"pointer of (char), array of:char",17,17,17
lconst@0,long,25,25,8
lconst@1,long,33,33,8
lconst@8,long,41,41,8
sconst@argument no.%ld is %s\n,"pointer of (char), array of:char",64,64,23

symbol table id,symbol table name,parent id,table off
1,puts,0,8
name,type,offset,offset+base,width
str,pointer of (char),8,8,8

symbol table id,symbol table name,parent id,table off
2,printf,0,16
name,type,offset,offset+base,width
str,pointer of (char),8,8,8
d,int,16,16,8

symbol table id,symbol table name,parent id,table off
3,printf1,0,24
name,type,offset,offset+base,width
str,pointer of (char),8,8,8
d,int,16,16,8
s,pointer of (char),24,24,8

symbol table id,symbol table name,parent id,table off
4,printfs,0,8
name,type,offset,offset+base,width
str,pointer of (char),8,8,8

symbol table id,symbol table name,parent id,table off
5,main,0,121
name,type,offset,offset+base,width
argc,int,16,16,8
argv,pointer of (pointer of (char)),24,24,8
tmp@0,"pointer of (char), array of:char",41,41,17
i,int,49,49,8
tmp@1,bool,50,50,1
tmp@2,int,58,58,8
tmp@3,long,66,66,8

symbol table id,symbol table name,parent id,table off
6,scope@6,5,55
name,type,offset,offset+base,width
tmp@4,int,8,74,8
tmp@5,long,16,82,8
tmp@6,long,24,90,8
tmp@7,pointer of (char),32,98,8
tmp@8,"pointer of (char), array of:char",55,121,23
