
symbol table id,symbol table name,table off
0,global,114
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,"int function([pointer of (char), float])",0,0,20
a,int,8,8,8
main,int function(None),8,8,8
sconst@global: %ld\n,"pointer of (char), array of:char",21,21,13
lconst@1,long,29,29,8
lconst@29,long,37,37,8
sconst@local: %ld\n,"pointer of (char), array of:char",49,49,12
sconst@global using scope resolution: %ld\n,"pointer of (char), array of:char",85,85,36
lconst@6,long,93,93,8
sconst@%ld\n,"pointer of (char), array of:char",98,98,5
fconst@33,float,102,102,4
sconst@%f\n,"pointer of (char), array of:char",106,106,4
lconst@200,long,114,114,8

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,20
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,float,20,20,4

symbol table id,symbol table name,parent id,table off
3,main,0,173
name,type,offset,offset+base,width
tmp@0,"pointer of (char), array of:char",21,21,13
tmp@1,int,29,29,8
a,int,37,37,8
tmp@2,"pointer of (char), array of:char",49,49,12
tmp@3,int,57,57,8
tmp@4,"pointer of (char), array of:char",93,93,36
tmp@5,int,101,101,8
tmp@6,"pointer of (char), array of:char",106,106,5
tmp@7,int,114,114,8
b,float,118,118,4
tmp@8,"pointer of (char), array of:char",122,122,4
tmp@9,int,130,130,8
c,bool,131,131,1
tmp@10,"pointer of (char), array of:char",136,136,5
tmp@11,int,144,144,8
tmp@12,int,152,152,8
d,int,160,160,8
tmp@13,"pointer of (char), array of:char",165,165,5
tmp@14,int,173,173,8
