
symbol table id,symbol table name,table off
0,global,57
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,int function([pointer of (char)]),0,0,16
scanf,"int function([pointer of (char), pointer of (int)])",0,0,24
fibonacci,int function([int]),0,0,16
lconst@1,long,8,8,8
lconst@2,long,16,16,8
main,int function(None),16,16,8
sconst@%ld,"pointer of (char), array of:char",20,20,4
lconst@0,long,28,28,8
sconst@Enter a postive number\n,"pointer of (char), array of:char",52,52,24
sconst@%ld\n,"pointer of (char), array of:char",57,57,5

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,16
name,type,offset,offset+base,width
s,pointer of (char),16,16,8

symbol table id,symbol table name,parent id,table off
3,scanf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,pointer of (int),24,24,8

symbol table id,symbol table name,parent id,table off
4,fibonacci,0,57
name,type,offset,offset+base,width
n,int,16,16,8
tmp@0,bool,17,17,1
tmp@1,int,25,25,8
tmp@2,int,33,33,8
tmp@3,int,41,41,8
tmp@4,int,49,49,8
tmp@5,int,57,57,8

symbol table id,symbol table name,parent id,table off
5,main,0,90
name,type,offset,offset+base,width
n,int,16,16,8
tmp@6,long,24,24,8
tmp@7,"pointer of (char), array of:char",28,28,4
tmp@8,int,36,36,8
tmp@9,bool,37,37,1
tmp@12,int,77,77,8
tmp@13,"pointer of (char), array of:char",82,82,5
tmp@14,int,90,90,8

symbol table id,symbol table name,parent id,table off
6,scope@6,5,32
name,type,offset,offset+base,width
tmp@10,"pointer of (char), array of:char",24,61,24
tmp@11,int,32,69,8
