
symbol table id,symbol table name,table off
0,global,151
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,int function([pointer of (char)]),0,0,16
printf2,"int function([pointer of (char), int, int])",0,0,32
scanf,"int function([pointer of (char), pointer of (int)])",0,0,24
dfs,"void function([pointer of (pointer of (int), array of:int), pointer of (int), int, int, int])",0,0,40
lconst@-1,long,8,8,8
lconst@1,long,16,16,8
sconst@Node %ld: new tree\n,"pointer of (char), array of:char",36,36,20
sconst@Node %ld: Parent: %ld\n,"pointer of (char), array of:char",59,59,23
lconst@0,long,67,67,8
lconst@88,long,75,75,8
lconst@8,long,83,83,8
main,int function(None),83,83,8
lconst@11,long,91,91,8
sconst@Enter number of vertice (<=10)\n,"pointer of (char), array of:char",123,123,32
sconst@%ld,"pointer of (char), array of:char",127,127,4
lconst@10,long,135,135,8
sconst@invalid number\n,"pointer of (char), array of:char",151,151,16

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,16
name,type,offset,offset+base,width
s,pointer of (char),16,16,8

symbol table id,symbol table name,parent id,table off
3,printf2,0,32
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8
b,int,32,32,8

symbol table id,symbol table name,parent id,table off
4,scanf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,pointer of (int),24,24,8

symbol table id,symbol table name,parent id,table off
5,dfs,0,216
name,type,offset,offset+base,width
adj,"pointer of (pointer of (int), array of:int)",8,8,8
visited,pointer of (int),16,16,8
u,int,24,24,8
n,int,32,32,8
p,int,40,40,8
tmp@0,bool,41,41,1
tmp@1,int,49,49,8
tmp@2,"pointer of (char), array of:char",69,69,20
tmp@3,int,77,77,8
tmp@4,int,85,85,8
tmp@5,int,93,93,8
tmp@6,"pointer of (char), array of:char",116,116,23
tmp@7,int,124,124,8
i,int,132,132,8
tmp@8,bool,133,133,1
tmp@9,int,141,141,8
tmp@10,long,149,149,8

symbol table id,symbol table name,parent id,table off
8,main,0,1316
name,type,offset,offset+base,width
adj,"pointer of (pointer of (int), array of:int), array of:int",976,976,968
visited,"pointer of (int), array of:int",1064,1064,88
i,int,1072,1072,8
j,int,1080,1080,8
tmp@25,bool,1081,1081,1
tmp@26,int,1089,1089,8
tmp@27,long,1097,1097,8
n,int,1154,1154,8
tmp@41,"pointer of (char), array of:char",1186,1186,32
tmp@42,int,1194,1194,8
tmp@43,long,1202,1202,8
tmp@44,"pointer of (char), array of:char",1206,1206,4
tmp@45,int,1214,1214,8
tmp@46,bool,1215,1215,1
tmp@47,bool,1216,1216,1
tmp@48,bool,1217,1217,1
tmp@51,bool,1242,1242,1
tmp@52,int,1250,1250,8
tmp@53,long,1258,1258,8
tmp@70,bool,1267,1267,1
tmp@71,int,1275,1275,8
tmp@72,long,1283,1283,8

symbol table id,symbol table name,parent id,table off
6,scope@6,5,91
name,type,offset,offset+base,width
tmp@11,long,8,157,8
tmp@12,long,16,165,8
tmp@13,long,24,173,8
tmp@14,long,32,181,8
tmp@15,int,40,189,8
tmp@16,bool,41,190,1
tmp@17,long,49,198,8
tmp@18,long,57,206,8
tmp@19,int,65,214,8
tmp@20,bool,66,215,1
tmp@21,bool,67,216,1

symbol table id,symbol table name,parent id,table off
9,scope@9,8,97
name,type,offset,offset+base,width
tmp@28,long,8,1105,8
tmp@29,long,16,1113,8
tmp@30,long,24,1121,8
tmp@31,int,32,1129,8
tmp@32,bool,33,1130,1
tmp@33,int,41,1138,8
tmp@34,long,49,1146,8

symbol table id,symbol table name,parent id,table off
11,scope@11,8,24
name,type,offset,offset+base,width
tmp@49,"pointer of (char), array of:char",16,1233,16
tmp@50,int,24,1241,8

symbol table id,symbol table name,parent id,table off
12,scope@12,8,88
name,type,offset,offset+base,width
v,int,8,1266,8

symbol table id,symbol table name,parent id,table off
16,scope@16,8,81
name,type,offset,offset+base,width
tmp@73,long,8,1291,8
tmp@74,long,16,1299,8
tmp@75,long,24,1307,8
tmp@76,int,32,1315,8
tmp@77,bool,33,1316,1

symbol table id,symbol table name,parent id,table off
7,scope@7,6,24
name,type,offset,offset+base,width
tmp@22,long,8,224,8
tmp@23,long,16,232,8
tmp@24,int,24,240,8

symbol table id,symbol table name,parent id,table off
10,scope@10,9,48
name,type,offset,offset+base,width
tmp@35,long,8,1154,8
tmp@36,long,16,1162,8
tmp@37,long,24,1170,8
tmp@38,long,32,1178,8
tmp@39,long,40,1186,8
tmp@40,int,48,1194,8

symbol table id,symbol table name,parent id,table off
13,scope@13,12,104
name,type,offset,offset+base,width
tmp@54,long,8,1274,8
tmp@55,"pointer of (char), array of:char",12,1278,4
tmp@56,int,20,1286,8
tmp@57,bool,21,1287,1
tmp@58,bool,22,1288,1
tmp@59,bool,23,1289,1
tmp@60,bool,24,1290,1
tmp@63,long,56,1322,8
tmp@64,long,64,1330,8
tmp@65,long,72,1338,8
tmp@66,int,80,1346,8
tmp@67,long,88,1354,8
tmp@68,long,96,1362,8
tmp@69,int,104,1370,8

symbol table id,symbol table name,parent id,table off
17,scope@17,16,48
name,type,offset,offset+base,width
tmp@78,long,8,1324,8
tmp@79,long,16,1332,8
tmp@80,long,24,1340,8
tmp@81,int,32,1348,8
tmp@82,long,40,1356,8
tmp@83,long,48,1364,8

symbol table id,symbol table name,parent id,table off
14,scope@14,13,0
name,type,offset,offset+base,width

symbol table id,symbol table name,parent id,table off
15,scope@15,13,24
name,type,offset,offset+base,width
tmp@61,"pointer of (char), array of:char",16,1306,16
tmp@62,int,24,1314,8
