
symbol table id,symbol table name,table off
0,global,196
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,int function([pointer of (char)]),0,0,16
scanf,"int function([pointer of (char), pointer of (int)])",0,0,24
malloc,pointer of (void) function([int]),0,0,16
head,pointer of (struct Node),8,8,8
push,void function([int]),8,8,8
lconst@16,long,16,16,8
lconst@0,long,24,24,8
lconst@8,long,32,32,8
pop,void function(None),32,32,0
sconst@linked list is empty\n,"pointer of (char), array of:char",54,54,22
sconst@removing node with data %ld\n,"pointer of (char), array of:char",83,83,29
print_list,void function(None),83,83,0
sconst@%ld ,"pointer of (char), array of:char",88,88,5
sconst@\n,"pointer of (char), array of:char",90,90,2
search,void function([int]),90,90,8
sconst@Element %ld is present in linked list\n,"pointer of (char), array of:char",129,129,39
sconst@Element %ld is not in linked list\n,"pointer of (char), array of:char",164,164,35
main,int function(None),164,164,8
lconst@10,long,172,172,8
lconst@1,long,180,180,8
lconst@49,long,188,188,8
lconst@5,long,196,196,8

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,16
name,type,offset,offset+base,width
s,pointer of (char),16,16,8

symbol table id,symbol table name,parent id,table off
3,scanf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,pointer of (int),24,24,8

symbol table id,symbol table name,parent id,table off
4,malloc,0,16
name,type,offset,offset+base,width
size,int,16,16,8

symbol table id,symbol table name,parent id,table off
5,Node,0,16
name,type,offset,offset+base,width
data,int,8,8,8
next,pointer of (struct Node),16,16,8

symbol table id,symbol table name,parent id,table off
6,push,0,56
name,type,offset,offset+base,width
data,int,8,8,8
tmp@0,pointer of (void),16,16,8
node,pointer of (struct Node),24,24,8
tmp@1,long,32,32,8
tmp@2,int,40,40,8
tmp@3,long,48,48,8
tmp@4,pointer of (struct Node),56,56,8

symbol table id,symbol table name,parent id,table off
7,pop,0,100
name,type,offset,offset+base,width
tmp@5,bool,1,1,1
tmp@8,long,39,39,8
tmp@9,int,47,47,8
tmp@10,"pointer of (char), array of:char",76,76,29
tmp@11,int,84,84,8
tmp@12,long,92,92,8
tmp@13,pointer of (struct Node),100,100,8

symbol table id,symbol table name,parent id,table off
9,print_list,0,95
name,type,offset,offset+base,width
tmp@14,bool,1,1,1
node,pointer of (struct Node),39,39,8
tmp@17,bool,40,40,1
tmp@24,"pointer of (char), array of:char",87,87,2
tmp@25,int,95,95,8

symbol table id,symbol table name,parent id,table off
12,search,0,124
name,type,offset,offset+base,width
a,int,8,8,8
tmp@26,bool,9,9,1
node,pointer of (struct Node),47,47,8
tmp@29,bool,48,48,1
tmp@37,"pointer of (char), array of:char",116,116,35
tmp@38,int,124,124,8

symbol table id,symbol table name,parent id,table off
16,main,0,75
name,type,offset,offset+base,width
i,int,16,16,8
tmp@39,bool,17,17,1
tmp@40,int,25,25,8
tmp@41,long,33,33,8
tmp@42,int,41,41,8
tmp@43,bool,42,42,1
tmp@44,int,50,50,8
tmp@45,long,58,58,8
tmp@46,bool,59,59,1
tmp@47,int,67,67,8
tmp@48,long,75,75,8

symbol table id,symbol table name,parent id,table off
8,scope@8,7,30
name,type,offset,offset+base,width
tmp@6,"pointer of (char), array of:char",22,23,22
tmp@7,int,30,31,8

symbol table id,symbol table name,parent id,table off
10,scope@10,9,30
name,type,offset,offset+base,width
tmp@15,"pointer of (char), array of:char",22,23,22
tmp@16,int,30,31,8

symbol table id,symbol table name,parent id,table off
11,scope@11,9,45
name,type,offset,offset+base,width
tmp@18,long,8,48,8
tmp@19,int,16,56,8
tmp@20,"pointer of (char), array of:char",21,61,5
tmp@21,int,29,69,8
tmp@22,long,37,77,8
tmp@23,pointer of (struct Node),45,85,8

symbol table id,symbol table name,parent id,table off
13,scope@13,12,30
name,type,offset,offset+base,width
tmp@27,"pointer of (char), array of:char",22,31,22
tmp@28,int,30,39,8

symbol table id,symbol table name,parent id,table off
14,scope@14,12,80
name,type,offset,offset+base,width
tmp@30,long,8,56,8
tmp@31,int,16,64,8
tmp@32,bool,17,65,1
tmp@35,long,72,120,8
tmp@36,pointer of (struct Node),80,128,8

symbol table id,symbol table name,parent id,table off
15,scope@15,14,47
name,type,offset,offset+base,width
tmp@33,"pointer of (char), array of:char",39,104,39
tmp@34,int,47,112,8
