
symbol table id,symbol table name,table off
0,global,50
name,type,offset,offset+base,width
is_odd,bool function([int]),0,0,9
is_even,bool function([int]),0,0,9
printf,"void function([pointer of (char), int])",0,0,16
scanf,"void function([pointer of (char), pointer of (int)])",0,0,16
main,int function(None),0,0,8
lconst@0,long,8,8,8
sconst@%ld,"pointer of (char), array of:char",12,12,4
sconst@Enter a positive number\n,"pointer of (char), array of:char",37,37,25
sconst@%ld\n,"pointer of (char), array of:char",42,42,5
lconst@1,long,50,50,8

symbol table id,symbol table name,parent id,table off
3,printf,0,16
name,type,offset,offset+base,width
s,pointer of (char),8,8,8
a,int,16,16,8

symbol table id,symbol table name,parent id,table off
4,scanf,0,16
name,type,offset,offset+base,width
s,pointer of (char),8,8,8
a,pointer of (int),16,16,8

symbol table id,symbol table name,parent id,table off
5,main,0,68
name,type,offset,offset+base,width
n,int,16,16,8
tmp@0,long,24,24,8
tmp@1,"pointer of (char), array of:char",28,28,4
tmp@2,bool,29,29,1
tmp@4,bool,55,55,1
tmp@5,"pointer of (char), array of:char",60,60,5
tmp@6,int,68,68,8

symbol table id,symbol table name,parent id,table off
7,is_odd,0,19
name,type,offset,offset+base,width
n,int,9,9,8
tmp@7,bool,10,10,1
tmp@8,int,18,18,8
tmp@9,bool,19,19,1

symbol table id,symbol table name,parent id,table off
8,is_even,0,19
name,type,offset,offset+base,width
n,int,9,9,8
tmp@10,bool,10,10,1
tmp@11,int,18,18,8
tmp@12,bool,19,19,1

symbol table id,symbol table name,parent id,table off
6,scope@6,5,25
name,type,offset,offset+base,width
tmp@3,"pointer of (char), array of:char",25,54,25
