
symbol table id,symbol table name,table off
0,global,393
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,int function([pointer of (char)]),0,0,16
scanf,"int function([pointer of (char), pointer of (int)])",0,0,24
puts,void function([pointer of (char)]),0,0,8
main,int function(None),0,0,8
sconst@enter a integer: ,"pointer of (char), array of:char",18,18,18
sconst@%ld,"pointer of (char), array of:char",22,22,4
lconst@2,long,30,30,8
lconst@0,long,38,38,8
sconst@given number is even\n,"pointer of (char), array of:char",60,60,22
lconst@3,long,68,68,8
"sconst@given no is divisible by 2,3","pointer of (char), array of:char",97,97,29
lconst@5,long,105,105,8
"sconst@given no is divisible by 2,3,5","pointer of (char), array of:char",136,136,31
lconst@7,long,144,144,8
"sconst@given no is divisible by 2,3,5,7","pointer of (char), array of:char",177,177,33
lconst@11,long,185,185,8
"sconst@given no is divisible by 2,3,5,7,11\n","pointer of (char), array of:char",222,222,37
"sconst@given no is div by 2,3,5,7 but not by 11\n","pointer of (char), array of:char",264,264,42
"sconst@given no is div by 2,3,5 but not by 7","pointer of (char), array of:char",302,302,38
"sconst@given no is div by 2,3 but not by 5","pointer of (char), array of:char",338,338,36
sconst@given no is div by 2 but not by 3,"pointer of (char), array of:char",372,372,34
sconst@given number is odd\n,"pointer of (char), array of:char",393,393,21

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,16
name,type,offset,offset+base,width
s,pointer of (char),16,16,8

symbol table id,symbol table name,parent id,table off
3,scanf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,pointer of (int),24,24,8

symbol table id,symbol table name,parent id,table off
4,puts,0,8
name,type,offset,offset+base,width
str,pointer of (char),8,8,8

symbol table id,symbol table name,parent id,table off
5,main,0,139
name,type,offset,offset+base,width
n,int,16,16,8
tmp@0,"pointer of (char), array of:char",34,34,18
tmp@1,int,42,42,8
tmp@2,long,50,50,8
tmp@3,"pointer of (char), array of:char",54,54,4
tmp@4,int,62,62,8
tmp@5,int,70,70,8
tmp@6,bool,71,71,1

symbol table id,symbol table name,parent id,table off
6,scope@6,5,111
name,type,offset,offset+base,width
tmp@7,"pointer of (char), array of:char",22,93,22
tmp@8,int,30,101,8
tmp@9,int,38,109,8
tmp@10,bool,39,110,1

symbol table id,symbol table name,parent id,table off
15,scope@15,5,29
name,type,offset,offset+base,width
tmp@27,"pointer of (char), array of:char",21,131,21
tmp@28,int,29,139,8

symbol table id,symbol table name,parent id,table off
7,scope@7,6,114
name,type,offset,offset+base,width
tmp@11,"pointer of (char), array of:char",29,139,29
tmp@12,int,37,147,8
tmp@13,bool,38,148,1

symbol table id,symbol table name,parent id,table off
14,scope@14,6,34
name,type,offset,offset+base,width
tmp@26,"pointer of (char), array of:char",34,182,34

symbol table id,symbol table name,parent id,table off
8,scope@8,7,120
name,type,offset,offset+base,width
tmp@14,"pointer of (char), array of:char",31,179,31
tmp@15,int,39,187,8
tmp@16,bool,40,188,1

symbol table id,symbol table name,parent id,table off
13,scope@13,7,36
name,type,offset,offset+base,width
tmp@25,"pointer of (char), array of:char",36,224,36

symbol table id,symbol table name,parent id,table off
9,scope@9,8,137
name,type,offset,offset+base,width
tmp@17,"pointer of (char), array of:char",33,221,33
tmp@18,int,41,229,8
tmp@19,bool,42,230,1

symbol table id,symbol table name,parent id,table off
12,scope@12,8,38
name,type,offset,offset+base,width
tmp@24,"pointer of (char), array of:char",38,268,38

symbol table id,symbol table name,parent id,table off
10,scope@10,9,45
name,type,offset,offset+base,width
tmp@20,"pointer of (char), array of:char",37,267,37
tmp@21,int,45,275,8

symbol table id,symbol table name,parent id,table off
11,scope@11,9,50
name,type,offset,offset+base,width
tmp@22,"pointer of (char), array of:char",42,317,42
tmp@23,int,50,325,8
