
symbol table id,symbol table name,table off
0,global,45
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,int function([pointer of (char)]),0,0,16
scanf,"int function([pointer of (char), pointer of (int)])",0,0,24
main,int function(None),0,0,8
lconst@5,long,8,8,8
lconst@3,long,16,16,8
lconst@4,long,24,24,8
lconst@8,long,32,32,8
sconst@%ld\n,"pointer of (char), array of:char",37,37,5
lconst@1,long,45,45,8

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,16
name,type,offset,offset+base,width
s,pointer of (char),16,16,8

symbol table id,symbol table name,parent id,table off
3,scanf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,pointer of (int),24,24,8

symbol table id,symbol table name,parent id,table off
4,main,0,230
name,type,offset,offset+base,width
a,int,16,16,8
b,int,24,24,8
c,int,32,32,8
d,int,40,40,8
tmp@0,int,48,48,8
tmp@1,int,56,56,8
tmp@2,"pointer of (char), array of:char",61,61,5
tmp@3,int,69,69,8
tmp@4,int,77,77,8
tmp@5,int,85,85,8
tmp@6,"pointer of (char), array of:char",90,90,5
tmp@7,int,98,98,8
tmp@8,int,106,106,8
tmp@9,int,114,114,8
tmp@10,"pointer of (char), array of:char",119,119,5
tmp@11,int,127,127,8
tmp@12,int,135,135,8
tmp@13,int,143,143,8
tmp@14,int,151,151,8
tmp@15,int,159,159,8
tmp@16,int,167,167,8
tmp@17,"pointer of (char), array of:char",172,172,5
tmp@18,int,180,180,8
tmp@19,int,188,188,8
tmp@20,long,196,196,8
tmp@21,"pointer of (char), array of:char",201,201,5
tmp@22,int,209,209,8
tmp@23,long,217,217,8
tmp@24,"pointer of (char), array of:char",222,222,5
tmp@25,int,230,230,8
