
symbol table id,symbol table name,table off
0,global,65
name,type,offset,offset+base,width
printf,"int function([pointer of (char), int])",0,0,24
printf1,"int function([pointer of (char), float])",0,0,20
main,int function(None),0,0,8
fconst@10.8,float,4,4,4
lconst@21,long,12,12,8
sconst@%ld\n,"pointer of (char), array of:char",17,17,5
lconst@69,long,25,25,8
fconst@3.1,float,29,29,4
lconst@65,long,37,37,8
sconst@%f\n,"pointer of (char), array of:char",41,41,4
lconst@90,long,49,49,8
sconst@%c\n,"pointer of (char), array of:char",53,53,4
fconst@24.0,float,57,57,4
lconst@1,long,65,65,8

symbol table id,symbol table name,parent id,table off
1,printf,0,24
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,int,24,24,8

symbol table id,symbol table name,parent id,table off
2,printf1,0,20
name,type,offset,offset+base,width
s,pointer of (char),16,16,8
a,float,20,20,4

symbol table id,symbol table name,parent id,table off
3,main,0,241
name,type,offset,offset+base,width
a,int,16,16,8
tmp@0,"pointer of (char), array of:char",21,21,5
tmp@1,int,29,29,8
b,int,37,37,8
c,float,41,41,4
tmp@2,int,49,49,8
tmp@3,float,53,53,4
tmp@4,float,57,57,4
tmp@5,float,61,61,4
tmp@6,float,65,65,4
tmp@7,"pointer of (char), array of:char",69,69,4
tmp@8,int,77,77,8
tmp@9,int,85,85,8
tmp@10,float,89,89,4
tmp@11,float,93,93,4
tmp@12,float,97,97,4
tmp@13,float,101,101,4
tmp@14,"pointer of (char), array of:char",106,106,5
tmp@15,int,114,114,8
tmp@16,int,122,122,8
tmp@17,int,130,130,8
tmp@18,float,134,134,4
tmp@19,float,138,138,4
tmp@20,float,142,142,4
tmp@21,float,146,146,4
tmp@22,int,154,154,8
tmp@23,"pointer of (char), array of:char",158,158,4
tmp@24,float,162,162,4
tmp@25,int,170,170,8
chr,char,171,171,1
tmp@26,"pointer of (char), array of:char",175,175,4
tmp@27,int,183,183,8
tmp@28,int,191,191,8
tmp@29,float,195,195,4
tmp@30,float,199,199,4
tmp@31,"pointer of (char), array of:char",203,203,4
tmp@32,int,211,211,8
tmp@33,int,219,219,8
d,bool,220,220,1
tmp@34,"pointer of (char), array of:char",225,225,5
tmp@35,int,233,233,8
tmp@36,int,241,241,8
